Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.fhir.ig.kl.common.caresocial.json	54193	-	0	0	0	0	0	0	22	326	0	0	0	0	0	0	0	1	0	0	380	536	0	0	0	28	0	6
input/vocabulary/CodeSystem-FFB.json	54176	64	1	0	1	1	0	0	2	96	0	0	8	4	0	0	0	1	0	0	259	17016	0	0	0	9	0	1
input/vocabulary/CodeSystem-FSIII.json	64914	74	0	0	0	0	0	0	2	130	0	0	0	0	0	0	0	0	0	0	295	585	0	0	0	13	0	1
input/vocabulary/CodeSystem-KLCommonCareSocialCodes.json	9383	14	0	0	0	0	0	0	2	41	0	0	0	0	0	0	0	0	0	0	61	334	0	0	0	1	0	0
fsh-generated/resources/CareTeam-MidlertidigtOpholdBotilbuddetHvidbjerghus.json	584	3	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	13	72	0	0	0	0	0	0
fsh-generated/resources/Observation-Observation1234.json	742	5	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	18	46	0	0	0	0	0	0
fsh-generated/resources/Observation-MarksPuls.json	792	13	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	11	52	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLCommonCareSocialEncounter.json	3215	39	0	0	0	0	0	802	0	534	0	0	1	0	0	0	0	4	0	0	429	5097	1	1	0	32	3	4
fsh-generated/resources/ValueSet-KLChangeValueCodes.json	629	5	1	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	26	19741	0	0	0	3	0	0
fsh-generated/resources/CarePlan-NySocialIndsats.json	1039	3	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	20	75	0	0	0	0	0	0
fsh-generated/resources/CarePlan-AndreasDagligeOpgaver.json	798	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	15	46	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLCommonCareSocialFocusCondition.json	6661	65	0	0	0	0	0	761	0	638	0	0	0	0	0	0	0	1	0	0	472	3350	0	0	0	17	0	3
fsh-generated/resources/Patient-BorgerEjnar.json	470	2	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	9	74	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-NPU.json	1819	6	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	20	180	0	0	0	4	0	0
fsh-generated/resources/Organization-BotilbudetHvidbjerghus.json	436	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	31	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-KLCommonCareSocialCondition.json	10148	97	0	0	0	0	0	1190	0	598	0	0	0	0	0	0	0	1	0	0	510	2813	0	0	0	14	0	4
fsh-generated/resources/Condition-ConditionCareingForOwnHealthPerformerNoteFFB.json	1220	5	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	22	66	0	0	0	0	0	0
