Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-kl.dk.fhir.children.json	38629	-	0	0	0	0	0	0	14	146	0	0	0	0	0	0	0	3	0	0	402	788	0	0	0	0	13	0	0
fsh-generated/resources/Bundle-4cda6c3c-856c-4fe3-ac90-9b6f968207c3.json	4073	15	0	0	0	1	69	0	0	2569	0	0	0	0	0	0	0	0	0	0	69	104	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-567a4d32-b3eb-46d6-8564-c7c2a1a1b903.json	35158	23	0	0	0	0	46	0	6	1673	0	0	0	0	0	0	0	1	0	0	327	299	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-5f1d5816-a906-4314-a6f4-69b400682ec6.json	17857	11	0	0	0	0	8	0	3	564	0	0	0	0	0	0	0	1	0	0	190	162	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-74dcb49e-dd6a-4450-9fb8-85ad0e7bed38.json	7431	8	0	0	0	0	4	0	0	135	0	0	0	0	0	0	0	0	0	0	101	93	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-84cf4f74-0cc7-47fe-8301-3bc8eb0ddd8f.json	10158	10	0	0	0	0	1	0	0	228	0	0	0	0	0	0	0	0	0	0	109	129	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-9a966368-052f-42e5-87fa-e57d9b8cbf2c.json	4091	6	0	0	0	0	8	0	0	75	0	0	0	0	0	0	0	0	0	0	69	66	0	0	0	1	0	0	0
fsh-generated/resources/Bundle-RikkeDeliveryReport2months.json	22286	21	0	0	0	0	21	0	8	525	0	0	0	0	0	0	0	1	0	0	223	209	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-a27ab0ea-4018-4516-900c-f1249a28dc37.json	17949	8	0	0	0	0	12	0	0	359	0	0	0	0	0	0	0	0	0	0	209	170	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-a50c7477-c817-4f98-92a8-b8c15f015d9e.json	8242	2	0	0	0	0	2	0	0	134	0	0	0	0	0	0	0	0	0	0	95	138	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-b9479825-6be1-4fa1-a2ae-74fe67014caa.json	10951	11	0	0	0	0	8	0	0	192	0	0	0	0	0	0	0	0	0	0	155	186	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-c5b55e0e-3bc4-468a-8600-1b23617dbb58.json	6263	5	0	0	0	0	3	0	0	145	0	0	0	0	0	0	0	0	0	0	74	149	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-c60604d1-692b-4e6d-86e5-03046b2d2f16.json	2063	5	0	0	0	0	3	0	5	42	0	0	0	0	0	0	0	0	0	0	45	72	0	0	0	0	0	0	0
