Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-kl.dk.fhir.children.json	40009	-	0	1	0	0	0	0	15	186	0	0	0	0	0	0	0	2	0	0	221	650	0	0	0	0	9	0	2
fsh-generated/resources/Bundle-4cda6c3c-856c-4fe3-ac90-9b6f968207c3.json	4073	6	0	0	0	0	26	0	0	2680	0	0	0	0	0	0	0	0	0	0	33	80	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-567a4d32-b3eb-46d6-8564-c7c2a1a1b903.json	35158	12	1	0	0	0	29	0	6	637	0	0	0	0	0	0	0	0	0	0	206	244	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-5f1d5816-a906-4314-a6f4-69b400682ec6.json	17857	6	0	0	0	0	5	0	4	191	0	0	0	0	0	0	0	0	0	0	83	156	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-74dcb49e-dd6a-4450-9fb8-85ad0e7bed38.json	7431	5	0	0	0	0	3	0	1	21	0	0	0	0	0	0	0	1	0	0	43	93	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-84cf4f74-0cc7-47fe-8301-3bc8eb0ddd8f.json	10158	4	0	0	0	0	5	0	2	15	0	0	0	0	0	0	0	0	0	0	53	108	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-9a966368-052f-42e5-87fa-e57d9b8cbf2c.json	4091	4	0	0	0	0	3	0	1	8	0	0	0	0	0	0	0	0	0	0	40	60	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-RikkeDeliveryReport2months.json	22286	7	0	0	0	0	5	0	3	33	0	0	0	0	0	0	0	0	0	0	150	187	0	0	0	1	0	0	0
fsh-generated/resources/Bundle-RikkeDeliveryReport3months.json	2213	5	1	0	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	24	51	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-TestIncrementalDelivery.json	27459	8	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	60	171	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-a27ab0ea-4018-4516-900c-f1249a28dc37.json	17949	6	0	0	0	0	3	0	4	27	0	0	0	0	0	0	0	0	0	0	90	153	0	0	0	0	0	0	0
