Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-kl.dk.fhir.core.json	51860	-	0	0	0	0	0	0	7	258	0	0	0	0	0	0	0	4	0	0	307	279	0	0	0	16	0	3
fsh-generated/resources/CareTeam-MidlertidigtOpholdBotilbuddetHvidbjerghus.json	545	9	2	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	13	38	0	0	0	0	0	0
fsh-generated/resources/Observation-Observation1234.json	701	4	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0
fsh-generated/resources/Observation-MarksPuls.json	779	3	0	0	0	0	0	0	0	1072	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLCommonCareSocialEncounter.json	3164	38	0	0	0	0	0	539	0	490	0	0	2	0	0	0	0	0	0	0	372	1879	0	0	0	5	6	3
fsh-generated/resources/ValueSet-KLChangeValueCodes.json	471	1	0	0	0	0	0	0	1	152	0	0	0	0	0	0	0	0	0	0	13	9998	0	0	0	1	0	0
fsh-generated/resources/CarePlan-NySocialIndsats.json	1005	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	36	0	0	1	0	0	0
fsh-generated/resources/CarePlan-AndreasDagligeOpgaver.json	759	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	21	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLCommonCareSocialFocusCondition.json	6569	64	0	0	0	0	0	540	0	536	0	0	0	0	0	0	0	0	0	0	462	2364	0	1	0	5	0	3
fsh-generated/resources/Patient-BorgerEjnar.json	457	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	43	0	0	0	0	0	0
fsh-generated/resources/Organization-BotilbudetHvidbjerghus.json	423	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	33	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLCommonCareSocialCondition.json	9900	85	0	0	0	0	0	824	0	568	0	0	5	0	0	0	0	1	0	0	474	2141	0	0	0	7	1	3
fsh-generated/resources/Condition-ConditionCareingForOwnHealthPerformerNoteFFB.json	1181	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	17	36	0	0	0	0	0	0
fsh-generated/resources/Procedure-AkutSygeplejeMark.json	1184	3	0	0	0	0	0	0	0	391	0	0	0	0	0	0	0	0	0	0	15	45	0	0	0	0	0	0
fsh-generated/resources/Encounter-Encounter333.json	646	3	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	16	39	0	0	0	0	0	0
fsh-generated/resources/Provenance-ProvenanceCondition111v3.json	676	3	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	15	27	0	0	0	0	0	0
fsh-generated/resources/ValueSet-KLInformationCodes.json	461	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	251	0	0	0	1	0	0
