Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-kl.dk.fhir.ffbmessaging.json	12439	-	0	0	0	0	0	0	3	763	0	0	0	0	0	0	0	0	0	0	173	215	0	0	0	3	0	3
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-account.json	1906	151	0	0	0	0	0	1617	0	1634	0	0	0	0	0	0	0	1	0	0	285	2933	0	1	0	4	0	1
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-accountOwner.json	4251	410	0	0	0	0	0	2465	0	2537	0	0	0	0	0	0	0	2	0	0	377	2110	0	0	0	8	0	3
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-evaluation.json	1970	84	0	0	0	0	0	2413	0	2338	0	0	0	0	0	0	0	0	0	0	467	2125	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-interventionPurpose.json	1520	82	1	0	0	0	0	2529	0	2504	0	0	1	0	0	0	0	1	0	0	472	1963	0	0	0	10	0	2
fsh-generated/resources/CodeSystem-kl-messaging-ffb-consentPolicyCodes.json	485	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	10	1339	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-consent.json	2204	157	0	0	0	0	0	1936	0	1890	0	0	0	0	0	0	0	1	0	0	336	1223	0	0	0	8	0	1
fsh-generated/resources/CodeSystem-kl-messaging-ffb-messageEventSystem.json	442	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	37	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-disgnosis.json	2421	186	0	0	0	0	0	2958	0	2964	0	0	0	0	0	0	0	1	0	0	546	1953	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-orderMessage.json	1608	101	0	0	1	0	0	1578	0	1513	0	0	0	0	0	0	0	0	0	0	250	939	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-condition.json	2452	134	0	0	0	0	0	2702	0	2669	0	0	0	0	0	0	0	1	0	0	499	1704	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-orderMessageHeader.json	3515	179	0	0	0	0	0	1671	0	1429	0	0	0	0	0	0	0	0	0	0	246	992	0	0	0	10	1	1
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-relatedPerson.json	3775	382	0	0	0	0	0	2516	0	2507	0	0	0	0	0	0	0	1	0	0	370	1446	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-guardian.json	2033	77	0	0	0	0	0	2211	0	2216	0	0	0	0	0	0	0	1	0	0	371	1397	0	0	0	8	0	1
fsh-generated/resources/ValueSet-kl-messaging-ffb-consentPolicyValues.json	489	3	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	9	5238	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-guardianshipForm.json	1689	102	0	0	0	0	0	255	0	253	0	0	0	0	0	0	0	0	0	0	34	185	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-intervention.json	3339	293	0	0	0	0	0	3336	0	3323	0	0	1	0	0	0	0	1	0	0	551	2459	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-informationGathering.json	2697	131	1	0	0	0	0	1702	0	1722	0	0	0	0	0	0	0	0	0	0	271	986	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-eanIdentifier.json	1196	50	0	0	0	0	0	339	0	356	0	0	0	0	0	0	0	0	0	0	61	323	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-relatedCarePlan.json	1734	110	0	0	0	0	0	1850	0	1931	0	0	0	0	0	0	0	1	0	0	340	1339	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-orderCarePlan.json	4759	372	0	0	0	0	0	3699	0	3743	0	0	0	0	0	0	0	1	0	0	648	2508	0	0	0	20	0	0
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-matterOfInterest.json	2464	188	0	0	0	0	0	1945	0	1971	0	0	0	0	0	0	0	1	0	0	375	1471	0	0	0	13	0	1
fsh-generated/resources/Bundle-909e720e-3edb-45b9-aeb2-655a97861f7c.json	56484	150	0	0	0	0	103	0	2	510	0	0	0	0	0	0	0	0	0	0	428	221	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-kl-messaging-ffb-relationshipTypeCodes.json	499	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	36	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-kl-messaging-ffb-followUp.json	1936	129	0	0	0	0	0	2518	0	2983	0	0	0	0	0	0	0	1	0	0	438	1391	0	0	0	9	0	1
