Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-kl.dk.fhir.ffbreporting.json	8281	-	0	0	0	0	0	0	2	693	0	0	0	0	0	0	0	0	0	0	154	114	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-serviceRequest.json	7841	1181	0	0	0	0	0	2909	0	2852	0	0	0	0	0	0	0	1	0	0	341	1521	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-followUp.json	6009	756	0	0	0	0	0	2480	0	2379	0	0	0	0	0	0	0	1	0	0	367	1330	0	0	0	15	0	0
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-intervention.json	9326	1415	0	0	0	0	0	3489	0	3514	0	0	0	0	0	0	0	1	0	0	408	1716	0	0	0	14	0	1
fsh-generated/resources/Bundle-4b4e5f33-a9a2-42f6-b598-180543029ae5.json	32806	111	1	0	0	0	34	0	1	495	0	0	0	0	0	0	0	0	0	0	260	150	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-targetGroup.json	4671	511	0	0	0	0	0	1808	0	1809	0	0	0	0	0	0	0	1	0	0	264	871	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-citizen.json	4011	557	0	0	0	0	0	2114	0	2093	0	0	0	0	0	0	0	1	0	0	301	957	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-interventionGoal.json	9214	857	0	0	0	0	0	3042	0	3079	0	0	0	0	0	0	0	1	0	0	408	1607	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-condition.json	7882	919	0	0	0	0	0	2685	0	2611	0	0	0	0	0	0	0	1	0	0	347	1038	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-follow-up-date-extension.json	1779	106	0	0	0	0	0	257	0	261	0	0	0	0	0	0	0	0	0	0	40	184	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-carePlan.json	10991	1136	0	0	0	0	0	3544	0	3564	0	0	1	0	0	0	0	1	0	0	442	1511	0	0	0	15	0	0
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-servicePerformer.json	2792	342	0	0	0	0	0	1249	0	1258	0	0	0	0	0	0	0	1	0	0	160	552	0	0	1	4	0	1
fsh-generated/resources/Bundle-5bf6a186-ee66-4b0e-ba6e-623972ab5130.json	15035	76	0	0	0	0	17	0	0	218	0	0	0	0	0	0	0	0	0	0	117	88	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-municipalityCaseNumber.json	2687	268	0	0	0	0	0	956	0	994	0	0	0	0	0	0	0	1	0	0	150	558	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-dk-core-kombit-sts-org-identifier.json	1326	72	0	0	0	0	0	358	0	368	0	0	0	0	0	0	0	0	0	0	67	251	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-careEvaluation.json	5847	750	0	0	0	0	0	2552	0	2631	0	0	0	0	0	0	0	1	0	0	413	1263	0	0	0	9	0	1
fsh-generated/resources/Bundle-aaa5d153-968e-46ec-9f9e-cfc6e93a3f1b.json	44037	182	1	0	0	0	43	0	2	276	0	0	0	0	0	0	0	0	0	0	336	206	0	0	0	0	0	0
fsh-generated/resources/Bundle-ae9cdbef-ca35-4dae-b5df-ffd938cf0098.json	13760	65	0	0	0	0	13	0	0	44	0	0	0	0	0	0	0	0	0	0	121	77	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-informationGathering.json	7612	846	0	0	0	0	0	2462	0	2483	0	0	0	0	0	0	0	1	0	0	283	886	1	0	0	6	0	1
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-deliveryReport.json	5678	310	0	0	0	0	0	1751	0	1701	0	0	0	0	0	0	0	1	0	0	271	752	0	0	0	7	0	0
fsh-generated/resources/Bundle-498644ca-b26c-4ba7-a1ef-69d691297ba3.json	23363	78	0	0	0	0	25	0	1	62	0	0	0	0	0	0	0	0	0	0	193	136	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-kl-reporting-ffb-followUpEncounter.json	5855	852	0	0	0	0	0	3796	0	3833	0	0	0	0	0	0	0	2	0	0	498	1330	0	0	0	16	0	1
