Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-kl.dk.fhir.ffinst.json	25630	-	0	0	0	0	0	0	3	940	0	0	0	0	0	0	0	1	0	0	292	280	0	0	0	0	7	0	1
fsh-generated/resources/Observation-HeleneRespirationRate.json	1402	10	0	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	0	0	23	25	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLToolsCareRespirationRate.json	6946	848	0	0	0	0	0	4548	0	4646	0	0	1	0	0	0	0	2	0	0	769	4830	0	0	0	0	16	0	2
fsh-generated/resources/ValueSet-WHO5SCTfindingsCalm2.json	581	3	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	10	8718	0	0	0	0	0	0	0
fsh-generated/resources/Observation-HeleneBloodPressure.json	2225	12	0	0	0	0	0	0	0	678	0	0	0	0	0	0	0	0	0	0	29	28	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-EQ5DSCTfindingsActivity.json	662	3	0	0	0	1	0	0	0	135	0	0	0	0	0	0	0	0	0	0	11	193	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ConsciousnessSCTFindings.json	739	7	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	14	192	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLToolsCareOxygenSaturation.json	6849	853	1	0	0	0	0	4552	0	4650	0	0	0	0	0	0	0	2	0	0	802	4624	0	0	0	0	12	1	2
fsh-generated/resources/StructureDefinition-KLToolsCareEQ5DObservationMobility.json	5040	405	0	0	0	0	0	3157	0	2862	0	0	0	0	0	0	0	1	0	0	506	2708	0	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-KLToolsWHO5ObservationCalm2.json	5019	416	0	0	0	0	0	3443	0	2850	0	0	0	0	0	0	0	1	0	0	544	3243	0	0	0	0	12	0	1
fsh-generated/resources/ValueSet-OxygenSaturationSCTobservables.json	603	3	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	10	213	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLToolsWHO5ObservationInterest5.json	5046	404	0	0	0	0	0	4252	0	2862	0	0	0	0	0	0	0	2	0	0	531	3039	0	0	0	0	11	0	1
fsh-generated/resources/Observation-HeleneConsciousness.json	1146	8	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	17	29	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-WHO5AnswerCodesActive.json	1012	4	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	11	60	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-KLToolsQuestionnaire.json	2268	117	0	0	0	0	0	2742	0	2233	0	0	0	0	0	0	0	1	0	0	394	2467	0	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-KLToolsCareUrinStix.json	6833	779	0	0	0	0	0	4046	0	3618	0	0	0	0	0	0	0	2	0	0	703	3683	0	0	0	0	10	0	2
fsh-generated/resources/ValueSet-ConsciousnessCodes.json	867	3	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	10	56	0	0	0	0	1	0	0
