Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-kl.dk.fhir.rehab.json	14111	-	0	0	0	0	0	0	6	76	0	0	1	0	0	0	0	2	0	0	128	336	0	0	0	5	0	0
fsh-generated/resources/Bundle-4a391f69-a909-4a79-92bd-1b0f812dc52a.json	7394	10	1	0	0	0	44	0	0	1515	0	0	0	0	0	0	0	0	0	0	61	82	0	0	0	0	0	0
fsh-generated/resources/Bundle-4b9443a2-7231-4387-8e3d-614bf193df49.json	14074	8	0	0	0	0	5	0	1	261	0	0	0	0	0	0	0	0	0	0	80	108	0	0	0	0	0	0
fsh-generated/resources/Bundle-9960b8dc-5ebf-4166-83d7-b042bcc6aca5.json	6166	9	0	0	0	0	4	0	1	99	0	0	0	0	0	0	0	0	0	0	48	60	0	0	0	0	0	1
fsh-generated/resources/Bundle-RuddiIndberetningsrapport.json	15206	8	1	0	0	0	5	0	1	247	0	0	0	0	0	0	0	0	0	0	79	119	0	0	1	0	0	0
fsh-generated/resources/Bundle-c2f75bbf-2027-41bf-b597-de5e242f2b3d.json	15492	8	0	0	0	0	7	0	1	226	0	0	0	0	0	0	0	0	0	0	94	106	0	0	0	0	0	0
fsh-generated/resources/Bundle-e87d5e68-e5f3-476f-988f-4efda86b0645.json	6978	6	0	0	0	0	4	0	0	112	0	0	0	0	0	0	0	0	0	0	44	62	0	0	0	0	0	0
fsh-generated/resources/CarePlan-RuddiFunctionalTraening.json	1457	7	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	22	34	0	0	0	0	0	0
fsh-generated/resources/CarePlan-RuddiTerapeutfagligUndersoegelse.json	1476	8	1	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	20	37	0	0	0	0	0	0
fsh-generated/resources/CarePlan-RuddiTraening.json	1445	8	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	22	39	0	0	0	0	0	0
fsh-generated/resources/CarePlan-RuddiTraeningsforloeb.json	972	8	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	21	36	0	0	0	0	0	0
fsh-generated/resources/Condition-RuddiAktionsdiagnoseGGOP.json	601	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	19	28	0	0	0	0	0	0
fsh-generated/resources/Condition-RuddiTilstand.json	1016	7	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	21	31	0	0	0	0	0	0
fsh-generated/resources/Encounter-RuddiKontakt1Traening.json	744	5	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	20	32	0	0	0	0	0	0
fsh-generated/resources/Encounter-RuddiKontaktUndersoegelse.json	694	4	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	20	37	0	0	0	0	0	0
fsh-generated/resources/Organization-7fdd6dc0-3f9f-4914-b34a-7c6495ba0880.json	341	4	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	19	27	0	0	0	0	0	0
fsh-generated/resources/Organization-AfsenderAfRuddisGGOP.json	324	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	25	0	0	0	0	0	0
fsh-generated/resources/Organization-UdfoererAfRuddisRehab.json	326	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	27	0	0	0	0	0	0
fsh-generated/resources/Patient-RuddiTestBerggren.json	491	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	18	25	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-RuddiGGOPInformation.json	1337	5	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	22	39	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BasedOnCarePlanExtension.json	1730	6	0	0	0	0	0	22	1	40	0	0	0	0	0	0	0	0	0	0	59	1341	0	1	0	1	0	0
